source_file,model,method,ttc,task,step,reward,action,reasoning_entropy_mean,reasoning_entropy_max,action_entropy_mean,action_entropy_max,reasoning_p_hack,action_p_hack,bad_action,productive_action,repeated_action,examine_loop,no_progress_window,reward_irrelevant_action,ineffective_action
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,0,0.0,go to diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,1,0.0,take knife 2 from diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,2,0.0,move knife 2 to diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,3,0.0,examine diningtable 2,,,,,,,1,0,0,0,0,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,4,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,5,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,6,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,7,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,8,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,9,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,10,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,11,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,12,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,13,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,14,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,15,0.0,examine diningtable 2,,,,,,,1,0,1,1,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,16,0.0,take knife 2 from diningtable 2,,,,,,,1,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,17,0.0,move knife 2 to diningtable 2,,,,,,,1,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,18,0.0,look,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,19,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,20,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,21,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,22,0.0,take bread 2 from diningtable 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,23,0.0,move bread 2 to diningtable 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,24,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,25,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,26,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,27,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,28,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,29,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,30,0.0,take knife 2 from diningtable 2,,,,,,,1,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,31,0.0,slice bread 2 with knife 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,32,0.0,slice bread 3 with knife 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,33,0.0,examine diningtable 2,,,,,,,1,0,0,0,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,34,0.0,look,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,35,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,36,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,37,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,38,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,39,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,40,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,41,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,42,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,43,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,44,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,45,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,46,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,47,0.0,look,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,48,0.0,examine diningtable 2,,,,,,,1,0,0,0,1,1,1
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,49,0.0,move knife 2 to diningtable 2,,,,,,,1,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,0,0.0,go to diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,1,0.0,take knife 2 from diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,2,0.0,go to stoveburner 4,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,3,0.0,go to stoveburner 1,,,,,,,0,1,0,0,0,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,4,0.0,go to stoveburner 4,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,5,0.0,go to diningtable 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,6,0.0,go to diningtable 1,,,,,,,0,1,0,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,7,0.0,go to diningtable 2,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,8,0.0,go to diningtable 1,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,9,0.0,go to diningtable 2,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,10,0.0,go to diningtable 1,,,,,,,1,1,1,0,1,0,0
traj_paper_eval_clean/LlamaControl/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_01.jsonl,LlamaControl,react_baseline,,pick_and_place_simple,11,0.0,go to diningtable 2,,,,,,,1,1,1,0,1,0,0
