source_file,model,method,ttc,task,step,reward,action,reasoning_entropy_mean,reasoning_entropy_max,action_entropy_mean,action_entropy_max,reasoning_p_hack,action_p_hack,bad_action,productive_action,repeated_action,examine_loop,no_progress_window,reward_irrelevant_action,ineffective_action
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,0,0.0,go to diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,1,0.0,take knife 2 from diningtable 2,,,,,,,0,1,0,0,0,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,2,0.0,go to stoveburner 4,,,,,,,0,1,0,0,0,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,3,0.0,go to stoveburner 1,,,,,,,0,1,0,0,0,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,4,0.0,go to stoveburner 4,,,,,,,1,1,1,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,5,0.0,go to diningtable 2,,,,,,,0,1,0,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,6,0.0,go to diningtable 1,,,,,,,0,1,0,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,7,0.0,go to diningtable 2,,,,,,,1,1,1,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,8,0.0,go to diningtable 1,,,,,,,1,1,1,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,9,0.0,go to diningtable 2,,,,,,,1,1,1,0,1,0,0
traj_paper_eval/react_baseline/alfworld/pick_and_place_simple/pick_and_place_simple_run_00.jsonl,unknown,react_baseline,,pick_and_place_simple,10,0.0,go to diningtable 1,,,,,,,1,1,1,0,1,0,0
